49, 4, 9, 17, 10, 43, 16
6, 39, 32, 4, 7, 2, 37
46, 18, 47, 35, 3, 1, 14
3, 29, 10, 39, 49, 22, 38
29, 44, 37, 19, 26, 38, 23
19, 43, 20, 15, 8, 37, 4
20, 29, 40, 42, 17, 25, 24
5, 10, 3, 6, 1, 32, 18
26, 22, 20, 30, 46, 7, 6
29, 22, 16, 31, 21, 17, 45
33, 40, 20, 48, 34, 7, 28
28, 8, 34, 25, 24, 10, 23
46, 6, 34, 17, 33, 29, 47
48, 28, 29, 36, 46, 19, 9
49, 30, 31, 38, 10, 28, 15
12, 2, 33, 5, 17, 49, 4
23, 4, 46, 11, 33, 31, 19
13, 44, 9, 21, 31, 22, 37
28, 34, 13, 8, 22, 15, 3
46, 13, 44, 37, 45, 19, 17
20, 37, 32, 1, 11, 6, 36
